Rank,Code,Type,Close,Score,RSI_14,MA_Divergence_25
1,4005.T,MyList,477.79999,0.007230104332251683,77.14984485269419,0.044088579463002486
2,6971.T,MyList,2112.0,0.007068756803714717,65.04854368932038,0.01703730099873839
3,9509.T,MyList,1258.0,0.006830421211768265,83.21870701513068,0.1570582392112137
4,6471.T,MyList,905.29999,0.006758362957026634,53.06290174361767,0.05879572067685533
5,9432.T,Core30,155.3,0.006480138110585636,69.46561913645947,0.0015477931203292463
6,5401.T,MyList,616.0,0.006367882519444319,51.188118811881175,-0.007648836564918529
7,7267.T,Core30,1570.0,0.006342794552005563,51.44230769230769,0.00652639407111081
8,8306.T,Core30,2447.0,0.005836952970660301,67.34693877551021,0.04586058041629277
9,4004.T,MyList,5808.0,0.005585503462688158,53.3801580333626,-0.007457738343438818
10,9501.T,MyList,800.59998,0.004674351384722305,47.53646807648798,-0.015968716022757765
11,4502.T,Core30,4535.0,0.004643979400197639,80.22690437601297,0.05223347285771295
12,9449.T,MyList,4027.0,0.0045642636451694195,75.87064676616916,0.15271877898256178
13,6758.T,Core30,4525.0,0.004048711039488479,59.55132562882393,0.024525208980501124
14,8058.T,Core30,3684.0,0.00404441243680199,60.332103321033216,0.0059856693463824035
15,8802.T,Core30,3635.0,0.00404441243680199,68.76355748373102,0.08711255727154193
16,6902.T,Core30,2059.5,0.004005915276713044,44.138929088277855,-0.03907168585879313
17,8002.T,MyList,4036.0,0.0039280919141362605,59.73557692307692,0.04671307198356792
18,7203.T,Core30,3141.0,0.003910015551989057,59.69289827255278,0.006382406090199569
19,8031.T,Core30,4133.0,0.003719105890028895,63.73626373626374,0.05343379144406832
20,4582.T,MyList,105.0,0.0036984072493856314,30.434782608695656,-0.06848828956706883
21,1802.T,MyList,3180.0,0.0036898005592519204,74.13522012578616,0.13999741887376857
22,1942.T,MyList,4828.0,0.0035964140173079143,50.201126307321,0.01614722769443187
23,8729.T,MyList,145.10001,0.0035917436165418468,42.562932465477125,-0.04684947974144728
24,8707.T,MyList,3075.0,0.0035585923416362876,77.60683760683762,0.07124940776455504
25,6701.T,MyList,6009.0,0.00353162434340546,61.54336734693878,0.0759407543223847
26,8316.T,Core30,4624.0,0.0034625344739205545,78.35897435897436,0.09101891351126888
27,6367.T,Core30,20095.0,0.0033390901609907492,69.33920704845815,0.05167577299085189
28,4519.T,Core30,8564.0,0.0032411659450169036,77.53444012716355,0.13554395790902915
29,1605.T,MyList,3290.0,0.0031868675456308265,82.27305218012866,0.1102861771058316
30,8411.T,Core30,5476.0,0.0030584175258797576,68.7603305785124,0.07412986849951356
31,7974.T,Core30,13235.0,0.003044542885470566,41.19658119658119,-0.0049769945568821404
32,9101.T,MyList,4901.0,0.0030284512373370143,38.50574712643678,-0.031078249179550002
33,2914.T,Core30,5847.0,0.0026803724598821253,83.50515463917526,0.0821124789943961
34,1366.T,MyList,152.0,0.002580651678495849,52.0,0.009296148738379853
35,6501.T,Core30,4853.0,0.002286252147347213,45.821325648414984,-0.011327058631789177
36,218A.T,MyList,1341.0,0.002179813912519847,26.457399103139025,-0.18349204802844682
37,4452.T,MyList,6423.0,0.0021654097616652895,44.12955465587044,-0.01449035204006475
38,6861.T,Core30,53550.0,0.0021450810282483065,32.364597093791275,-0.05962223330500195
39,7751.T,Core30,4571.0,0.002142856528339249,67.17687074829932,0.02426322959988521
40,4661.T,Core30,3020.0,0.002066568866154419,41.40845070422535,-0.05923692277020456
41,7011.T,MyList,3931.0,0.001932801729300324,33.43868520859671,-0.08734212481426445
42,8035.T,MyList,31170.0,0.0019316705063744863,41.94729136163982,-0.03292461962322224
43,6526.T,MyList,2208.5,0.0019145940548786315,33.87755102040816,-0.12843928080948397
44,7741.T,Core30,23650.0,0.0017847282717667677,37.22222222222222,-0.014624390650389568
45,8766.T,Core30,5554.0,0.0017061146996942683,42.857142857142854,-0.04362080959891994
46,7012.T,MyList,9991.0,0.0016951007995683132,19.45044766903365,-0.09738584293375342
47,6981.T,Core30,3169.0,0.001521185627993702,37.38738738738738,0.01541222083373383
48,9983.T,Core30,56990.0,0.0013372026303307143,53.873873873873876,0.020221838726539706
49,4063.T,Core30,4617.0,0.0010998287086488529,54.41176470588235,-0.0029800466442083833
50,9984.T,Core30,16260.0,0.0010519493605485387,25.960813865862846,-0.26631170471979065
51,4568.T,Core30,3862.0,0.0008872263719000377,77.11771177117711,0.05279801107864086
52,6273.T,Core30,54860.0,0.0007922529130430664,54.572986069049065,0.031001458361523283
53,6920.T,MyList,26625.0,0.0007488511582916814,39.62943901183737,0.005308785549228925
54,3382.T,Core30,2161.0,0.0006969209700859187,89.39393939393939,0.06786713183044578
55,6330.T,MyList,2747.0,0.0005137353474342702,65.4054054054054,0.06119137757861396
56,6857.T,MyList,19460.0,0.0005009834238158668,45.7697069748246,-0.011108513817039757
57,285A.T,MyList,8386.0,-0.0003390974931331241,41.172622454820505,-0.19677099257113745
58,6315.T,MyList,2141.0,-0.0003475006466208007,49.97564539698003,-0.05971119387253181
59,278A.T,MyList,2992.0,-0.0006281447922914502,43.486777668952016,-0.05238487363020209
60,6098.T,Core30,8036.0,-0.0006780658319436304,63.37381030521824,0.027054108216432903
